masterpiece	5.34922282702603
adventure	3.654022193855615
entertaining	1.1161759951699992
great	0.9990569642073872
epic	0.9554489806939428
trilogy	0.9468865602435482
fantastic	0.7793349614904994
magic	0.4933478028962238
readable	0.48181449785430314
recommend	0.4467563379409496
tale	0.4196246091843625
excellent	0.3911531275998759
wonderful	0.32318669766898933
classic	0.29894469545341623
expected	0.23354956736482363
quality	0.18382315431589952
literature	0.1835069123706378
enjoyed	0.17844604325924748
awesome	0.15934718697298147
kindle	0.1565101157602963
beautiful	0.14227321492149272
cheers	0.13627809834465343
amazing	0.13016705559343422
introduction	0.1099156639865099
funny	0.10181212806685122
:-)	0.09746730025253518
fascinating	0.09032121965420821
classical	0.08116497575301077
journey	0.07956147779499183
love	0.07637319174331118
loves	0.06768714154967408
novel	0.05398815371542647
monk	0.05317411114832561
volume	0.05249168883766426
wonderfully	0.04840854759390564
gift	0.04807693378133456
encontrar	0.04452286556508773
splendid	0.04414975192386266
font	0.04130564940062542
printing	0.03753525323121298
prompt	0.03715835780542364
enjoyable	0.03562640901310242
informative	0.035552402462581206
halfway	0.03242734698621454
good	0.030762528417121727
hooked	0.029772229239630275
ok	0.02967515938838927
glad	0.02902508984774344
greatest	0.02761194773258551
enjoying	0.027257640736386566
comprehensive	0.026904747710352898
foray	0.026027915831965367
full	0.022374335530482917
magnificent	0.021966619819211122
insight	0.0219625376383755
loved	0.020450442549665188
grandson	0.01901085097141554
fine	0.018761992176009545
best	0.01739305337218976
interesting	0.015614769545517887
perfect	0.015200544804356477
delivery	0.014179827019359114
detail	0.01403776837004737
abridgment	0.013575539503711726
nice	0.013023740289076553
witty	0.012631035552500402
happy	0.011677425342382183
reader	0.01151847467202915
liked	0.011278532857725374
worth	0.009705932656629805
purchase	0.008863825382506667
true	0.00802334844710989
charming	0.007930354854903232
surprisingly	0.007257440883013273
thank	0.007245744831212237
superb	0.006706865865837393
valuable	0.006290238795805966
real	0.006004669617013831
pleasure	0.005925236531522207
cultural	0.005815731896683055
fun	0.005359125519912236
content	0.005194630869931096
poetry	0.005129747342840963
humor	0.005128205023376986
thanks	0.0050547274946123565
scholarly	0.004716107620027129
delightful	0.004618962229987265
timeless	0.004530284546950935
learn	0.004093809747365197
fantasy	0.004032046889895817
:)	0.0033703588089876316
pristine	0.0031948193141491245
decent	0.0028900843949442676
easy	0.0028280686293526702
understanding	0.002781006043639425
king	0.00266169188047414
buddhism	0.002409808264972789
new	0.0023529030999606135
elegant	0.0022401530675613675
likeable	0.0021691671270722282
charm	0.0020463843975083154
christmas	0.001801758667566618
inquisitive	0.0015985736707958029
tame	0.0015617926072037823
birthday	0.0014952532465077324
enjoy	0.0014834904744547633
modern	0.001426197014454467
manageable	0.0012519482949563136
category	0.0012476447846512825
basic	0.0012028959436628452
ahead	0.0011981792628660613
wisdom	0.0010904565332770762
inner	0.0010602241625695902
culture	0.0010583406892178686
cultivation	0.0010543543059282118
popular	0.0009744305088457523
friend	0.0009743522655879986
beautifully	0.0009564604255505008
immortality	0.0009122815634582449
mentor	0.0008705619991512103
basically	0.0008257724231391877
cool	0.0007670597054779545
amusing	0.0007443794530742468
bureaucratic	0.0007245281682808663
revolutionary	0.000652108607131871
taste	0.0006519031034579875
interested	0.0006410038913006991
value	0.0005889210363435115
recommended	0.0004934930827794951
lots	0.0004927708299325131
simple	0.00047364460614203127
wow	0.00046998767374602804
purchasing	0.0004669755738392512
improvement	0.0004548444740929638
favorite	0.0004461101703681953
prefer	0.00043837795145174063
standout	0.0004076991825051889
bits	0.0003943952456052915
abridgement	0.00037742765744776594
baby	0.00035104882909310414
copy	0.00034947191154651374
poetic	0.0003452685450121697
lovely	0.0003385549547260856
joy	0.0003044561679741366
heavy	0.0002930397133268045
heaven	0.00029282233919397394
demons	0.00028300142546634424
learning	0.00027146709392769576
spirit	0.0002620941985615602
folklore	0.00025261666266778403
brought	0.00024951221778123675
satire	0.00023936505999633286
prepare	0.00021830090904840924
cheaper	0.00021472211835567426
spiritual	0.00020637970756898178
pace	0.00020621754939352578
redemptive	0.00020604460618265475
tongue-in-cheek	0.00019504117695195804
legend	0.000191953498491484
brings	0.0001909917078310579
deep	0.00018613650774424137
accuracy	0.00018122539855803022
job	0.00017450945526108032
keeps	0.00016652300951273868
exciting	0.00015771965945177515
big	0.00015362371603771244
work	0.00014270899317718466
interest	0.00014159697947225874
niece	0.00014086434180409201
wide	0.0001364550485809556
research	0.0001266293237892173
hope	0.00012392975129518866
cover	0.00012185788592432629
fast	0.00012147855130856583
family	0.0001133261299257374
born	0.00010416759469549518
original	0.00010348268352989104
consider	9.549161954350115e-05
super	9.09383090395509e-05
polished	8.532418337057662e-05
challenges	8.16726817927458e-05
understand	8.111426375514295e-05
visit	7.934009373705024e-05
quick	7.647167847337546e-05
meaningful	7.246073638603977e-05
student	7.150701683504423e-05
plot	6.976879703811625e-05
enjoys	6.634084855134532e-05
nature	6.622310311588177e-05
choice	6.158073456430873e-05
grew	5.806251282446909e-05
better	5.705932275481039e-05
wanted	5.424089119128322e-05
forever	5.384421022927138e-05
imagine	5.311028262883317e-05
older	5.27143784239909e-05
superior	5.2106505830276935e-05
subtle	4.972581370122494e-05
carry	4.956847269626811e-05
somewhat	4.703707986675379e-05
lord	4.602051238662329e-05
flavor	4.410671806287556e-05
invest	4.251111957808557e-05
nicely	3.9076652034208964e-05
funniest	3.8835403467192825e-05
fly	3.860140300073286e-05
collection	3.763427098189297e-05
publish	3.687702968866554e-05
extensive	3.2251607516174553e-05
optimal	3.219548789118171e-05
